Nom,Description,Type_Traitement,Condition_Medicale,Population_Etudiee,Duree_Etude,Risque_Absolu_Groupe_Controle,Risque_Absolu_Groupe_Intervention,Risque_Relatif,Benefices,Effets_Secondaires,Source_Etude
Etu2019-enquete-sante-risque_p14_25,"Tableau de type 'general' avec 30 lignes et 16 colonnes. Colonnes: Unnamed: 0, 514, Unnamed: 2, Unnamed: 3, Unnamed: 4 ... et 11 autres colonnes",general,,,,,,,"Unnamed: 0: 2.0, 227.0, 101.0; 514: 1.0, 87.0, 39.0; Unnamed: 2: 211.0",,tables_csv\Etu2019-enquete-sante-risque_p14_25.csv
Etu2019-enquete-sante-risque_p15_26,"Tableau de type 'general' avec 6 lignes et 14 colonnes. Colonnes: Unnamed: 0, Unnamed: 1, Unnamed: 2, 79, 0 ... et 9 autres colonnes",general,,,,,,,Unnamed: 2: 29.0,,tables_csv\Etu2019-enquete-sante-risque_p15_26.csv
Etu2019-enquete-sante-risque_p15_27,"Tableau de type 'general' avec 10 lignes et 3 colonnes. Colonnes: 84, Unnamed: 1, 53",general,,,,,,,"84: 110.0, 836.0; 53: 69.0, 380.0",,tables_csv\Etu2019-enquete-sante-risque_p15_27.csv
Etu2019-enquete-sante-risque_p2_1,"Tableau de type 'general' avec 24 lignes et 9 colonnes. Colonnes: Tableau 1 : Comportements à risque en fonction des deux Clusters retenus, Unnamed: 1, Unnamed: 2, Unnamed: 3, Unnamed: 4 ... et 4 autres colonnes",general,,n=1042 participants,,,,,"Tableau 1 : Comportements à risque en fonction des deux Clusters retenus: Q66. Nombre de verres standards bus
dans une journée ordinaire où de l'alcool
est bu, Q67.Fréquence de consommation de 4
ou 5 verres standards au cours du
dernier mois, Q68. Pratique de sports ou loisirs à la
recherche de sensations extrêmes, Q68a. Blessé lors de la pratique de
sports ou loisirs à la recherche de
sensations extrêmes, Q69. Fréquence de consommation; Unnamed: 1: Q93. Expérience avec préservatif rompu",,tables_csv\Etu2019-enquete-sante-risque_p2_1.csv
Etu2019-enquete-sante-risque_p3_2,"Tableau de type 'general' avec 10 lignes et 3 colonnes. Colonnes: Unnamed: 0, Unnamed: 1, Unnamed: 2",general,,,,,,,"Unnamed: 0: 284.0, 763.0; Unnamed: 2: 217.0, 275.0",,tables_csv\Etu2019-enquete-sante-risque_p3_2.csv
Etu2019-enquete-sante-risque_p4_3,"Tableau de type 'general' avec 10 lignes et 7 colonnes. Colonnes: Unnamed: 0, Unnamed: 1, Unnamed: 2, Unnamed: 3, Unnamed: 4 ... et 2 autres colonnes",general,,,,,,,"Unnamed: 0: 144.0, 338.0; Unnamed: 2: 286.0, 536.0",,tables_csv\Etu2019-enquete-sante-risque_p4_3.csv
Etu2019-enquete-sante-risque_p4_4,"Tableau de type 'general' avec 9 lignes et 7 colonnes. Colonnes: Unnamed: 0, Unnamed: 1, Unnamed: 2, Unnamed: 3, Unnamed: 4 ... et 2 autres colonnes",general,,,,,,,"Unnamed: 0: 79.0, 144.0; Unnamed: 2: 159.0, 340.0",,tables_csv\Etu2019-enquete-sante-risque_p4_4.csv
Etu2019-enquete-sante-risque_p4_5,"Tableau de type 'general' avec 9 lignes et 9 colonnes. Colonnes: Unnamed: 0, Unnamed: 1, Unnamed: 2, Unnamed: 3, Unnamed: 4 ... et 4 autres colonnes",general,,,,,,,"Unnamed: 0: 332.0, 646.0; Unnamed: 2: 62.0, 142.0",,tables_csv\Etu2019-enquete-sante-risque_p4_5.csv
Etu2019-enquete-sante-risque_p5_6,"Tableau de type 'general' avec 8 lignes et 5 colonnes. Colonnes: Unnamed: 0, Unnamed: 1, Unnamed: 2, Unnamed: 3, Unnamed: 4",general,,,,,,,"Unnamed: 0: 362.0, 770.0; Unnamed: 2: 107.0, 192.0",,tables_csv\Etu2019-enquete-sante-risque_p5_6.csv
Etu2019-enquete-sante-risque_p5_7,"Tableau de type 'general' avec 2 lignes et 7 colonnes. Colonnes: 274, Unnamed: 1, Unnamed: 2, Unnamed: 3, Unnamed: 4 ... et 2 autres colonnes",general,,,,,,,274: 23.0; Unnamed: 1: 7.0,,tables_csv\Etu2019-enquete-sante-risque_p5_7.csv
Etu2019-enquete-sante-risque_p5_8,"Tableau de type 'general' avec 11 lignes et 19 colonnes. Colonnes: Unnamed: 0, Unnamed: 1, Unnamed: 2, Unnamed: 3, Unnamed: 4 ... et 14 autres colonnes",general,,,,,,,"Unnamed: 0: 28.0, 40.0; Unnamed: 2: 42.0, 86.0",,tables_csv\Etu2019-enquete-sante-risque_p5_8.csv
Etu2019-enquete-sante-risque_p6_10,"Tableau de type 'general' avec 9 lignes et 3 colonnes. Colonnes: 26, Unnamed: 1, Unnamed: 2",general,,,,,,,"26: 128.0, 222.0, 107.0; Unnamed: 2: 49.0, 244.0, 471.0, 223.0",,tables_csv\Etu2019-enquete-sante-risque_p6_10.csv
Etu2019-enquete-sante-risque_p6_11,"Tableau de type 'general' avec 11 lignes et 3 colonnes. Colonnes: 58, Unnamed: 1, 106",general,,,,,,,"58: 47.0, 246.0, 134.0; 106: 92.0, 523.0, 294.0",,tables_csv\Etu2019-enquete-sante-risque_p6_11.csv
Etu2019-enquete-sante-risque_p6_9,"Tableau de type 'general' avec 11 lignes et 11 colonnes. Colonnes: Unnamed: 0, Unnamed: 1, Unnamed: 2, Unnamed: 3, Unnamed: 4 ... et 6 autres colonnes",general,,,,,,,"Unnamed: 0: 56.0, 68.0; Unnamed: 2: 42.0, 65.0",,tables_csv\Etu2019-enquete-sante-risque_p6_9.csv
Etu2019-enquete-sante-risque_p7_12,"Tableau de type 'general' avec 18 lignes et 24 colonnes. Colonnes: 87, Unnamed: 1, Unnamed: 2, Unnamed: 3, Unnamed: 4 ... et 19 autres colonnes",general,,,,,,,"87: 17.0, 1.0, 18.0, 66.0, 79.0; Unnamed: 2: 8.0, 1.0, 4.0, 12.0, 2.0",,tables_csv\Etu2019-enquete-sante-risque_p7_12.csv
Etu2019-enquete-sante-risque_p8_13,"Tableau de type 'general' avec 30 lignes et 30 colonnes. Colonnes: 86, Unnamed: 1, Unnamed: 2, Unnamed: 3, Unnamed: 4 ... et 25 autres colonnes",general,,,,,,,"86: 155.0, 9.0, 146.0, 17.0, 2.0; Unnamed: 2: 147.0, 287.0, 4.0, 118.0, 6.0",,tables_csv\Etu2019-enquete-sante-risque_p8_13.csv
Etu2019-enquete-sante-risque_p9_14,"Tableau de type 'general' avec 22 lignes et 21 colonnes. Colonnes: Unnamed: 0, Unnamed: 1, Unnamed: 2, 321, Unnamed: 4 ... et 16 autres colonnes",general,,,,,,,"Unnamed: 2: 6.0, 229.0, 534.0",,tables_csv\Etu2019-enquete-sante-risque_p9_14.csv
nihms378783_Table_p10_1,"Tableau de type 'statistical_results' avec 24 lignes et 5 colonnes. Colonnes: Area of Interest, Measure, Text condition
(n=95), Graphic
condition (n=97), p-value",statistical_results,,n=95 participants,,,,,"Area of Interest: Whole ad
(1), Warning area, Brand name
(2), Cowboy image
(3), Graphic image
(4); Measure: Dwell time, Fixations, Time to first view; Text condition
(n=95): 26.3 (5.2), 19.5 (20.6), 0.04 (0.09), 8.2 (5.4), 10.8 (13.1)",,tables_csv\nihms378783_Table_p10_1.csv
nihms858881_Table_p14_1,Tableau de type 'demographics' avec 36 lignes et 1 colonnes. Colonnes: Characteristic Text-Only Warnings (n = 1078) Pictorial Warnings (n = 1071),demographics,,n=1078 participants,,,,,"Characteristic Text-Only Warnings (n = 1078) Pictorial Warnings (n = 1071): Study site, California 594 (55.1) 592 (55.3), North Carolina 484 (44.9) 479 (44.7), Age, y, 18–24 171 (16.1) 152 (14.5)",,tables_csv\nihms858881_Table_p14_1.csv
nihms858881_Table_p15_1,Tableau de type 'demographics' avec 14 lignes et 1 colonnes. Colonnes: Characteristic Text-Only Warnings (n = 1078) Pictorial Warnings (n = 1071),demographics,,n=1078 participants,,,,,"Characteristic Text-Only Warnings (n = 1078) Pictorial Warnings (n = 1071): Smoking frequency, Daily 866 (80.4) 864 (80.7), Nondaily 211 (19.6) 207 (19.3), Primary trial outcome at baseline, Made quit attempt in last month 270 (26.2) 275 (26.8)",,tables_csv\nihms858881_Table_p15_1.csv
nihms858881_Table_p16_1,"Tableau de type 'risk_analysis' avec 2 lignes et 1 colonnes. Colonnes: Trial Arm Smokers Reporting a Quit Attempt, No. Percentage (95% CI) OR (95% CI)",risk_analysis,,,,,,,"Trial Arm Smokers Reporting a Quit Attempt, No. Percentage (95% CI) OR (95% CI): Text-only 366 of 1078 34.0 (31.1–36.8) 1 [Reference], Pictorial 428 of 1071 40.0 (37.0–42.9) 1.29 (1.09–1.54)",,tables_csv\nihms858881_Table_p16_1.csv
